variant,test_macro_auroc,best_val_auroc
minmax_per_concept,0.6808885739076039,0.6822798258716014
minmax_per_image,0.6795417192264225,0.7053926586386751
baseline_no_bottleneck,0.6276350597067921,0.634467192992582
binarized,0.6032823083346287,0.5841774401410504
